<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.09.2018;20:50:00;106950.0000000;106950.0000000;106870.0000000;106870.0000000
04.09.2018;20:58:00;106920.0000000;106920.0000000;106910.0000000;106910.0000000
04.09.2018;21:08:00;106940.0000000;106940.0000000;106940.0000000;106940.0000000
04.09.2018;21:18:00;107050.0000000;107050.0000000;107050.0000000;107050.0000000
04.09.2018;21:23:00;106940.0000000;106940.0000000;106940.0000000;106940.0000000
04.09.2018;21:40:00;106850.0000000;106850.0000000;106850.0000000;106850.0000000
04.09.2018;21:41:00;106840.0000000;106840.0000000;106750.0000000;106750.0000000
04.09.2018;21:42:00;106750.0000000;106750.0000000;106750.0000000;106750.0000000
04.09.2018;21:46:00;106820.0000000;106820.0000000;106820.0000000;106820.0000000
04.09.2018;21:47:00;106810.0000000;106810.0000000;106810.0000000;106810.0000000
04.09.2018;21:48:00;106800.0000000;106800.0000000;106800.0000000;106800.0000000
04.09.2018;21:52:00;106730.0000000;106730.0000000;106730.0000000;106730.0000000
04.09.2018;21:58:00;106770.0000000;106770.0000000;106770.0000000;106770.0000000
04.09.2018;22:04:00;106780.0000000;106780.0000000;106780.0000000;106780.0000000
04.09.2018;22:12:00;106750.0000000;106750.0000000;106750.0000000;106750.0000000
04.09.2018;22:13:00;106710.0000000;106710.0000000;106700.0000000;106700.0000000
04.09.2018;22:14:00;106690.0000000;106690.0000000;106660.0000000;106660.0000000
04.09.2018;22:16:00;106660.0000000;106660.0000000;106660.0000000;106660.0000000
04.09.2018;22:24:00;106630.0000000;106630.0000000;106630.0000000;106630.0000000
04.09.2018;22:25:00;106550.0000000;106550.0000000;106550.0000000;106550.0000000
04.09.2018;22:26:00;106570.0000000;106570.0000000;106570.0000000;106570.0000000
04.09.2018;22:28:00;106570.0000000;106570.0000000;106570.0000000;106570.0000000
04.09.2018;22:29:00;106600.0000000;106600.0000000;106600.0000000;106600.0000000
04.09.2018;22:31:00;106600.0000000;106600.0000000;106600.0000000;106600.0000000
04.09.2018;22:32:00;106600.0000000;106600.0000000;106600.0000000;106600.0000000
04.09.2018;22:37:00;106530.0000000;106530.0000000;106530.0000000;106530.0000000
04.09.2018;22:38:00;106500.0000000;106500.0000000;106490.0000000;106490.0000000
04.09.2018;22:39:00;106490.0000000;106490.0000000;106490.0000000;106490.0000000
04.09.2018;22:40:00;106470.0000000;106470.0000000;106470.0000000;106470.0000000
04.09.2018;22:41:00;106490.0000000;106540.0000000;106490.0000000;106540.0000000
04.09.2018;22:44:00;106460.0000000;106460.0000000;106460.0000000;106460.0000000
04.09.2018;22:46:00;106450.0000000;106450.0000000;106450.0000000;106450.0000000
04.09.2018;22:47:00;106450.0000000;106450.0000000;106450.0000000;106450.0000000
04.09.2018;22:49:00;106470.0000000;106470.0000000;106470.0000000;106470.0000000
04.09.2018;22:50:00;106420.0000000;106420.0000000;106340.0000000;106340.0000000
04.09.2018;22:51:00;106370.0000000;106370.0000000;106370.0000000;106370.0000000
04.09.2018;22:56:00;106370.0000000;106370.0000000;106370.0000000;106370.0000000
04.09.2018;23:07:00;106510.0000000;106510.0000000;106510.0000000;106510.0000000
04.09.2018;23:09:00;106550.0000000;106600.0000000;106550.0000000;106600.0000000
04.09.2018;23:10:00;106550.0000000;106550.0000000;106550.0000000;106550.0000000
04.09.2018;23:15:00;106630.0000000;106630.0000000;106630.0000000;106630.0000000
04.09.2018;23:18:00;106650.0000000;106650.0000000;106650.0000000;106650.0000000
04.09.2018;23:19:00;106640.0000000;106640.0000000;106640.0000000;106640.0000000
04.09.2018;23:24:00;106640.0000000;106640.0000000;106640.0000000;106640.0000000
04.09.2018;23:25:00;106660.0000000;106670.0000000;106660.0000000;106670.0000000
04.09.2018;23:26:00;106700.0000000;106760.0000000;106700.0000000;106760.0000000
04.09.2018;23:36:00;106680.0000000;106680.0000000;106680.0000000;106680.0000000
04.10.2018;10:01:00;117890.0000000;117890.0000000;117140.0000000;117230.0000000
04.10.2018;10:02:00;117230.0000000;117240.0000000;116860.0000000;116880.0000000
04.10.2018;10:03:00;116880.0000000;117100.0000000;116830.0000000;117010.0000000
04.10.2018;10:04:00;117010.0000000;117140.0000000;116910.0000000;117090.0000000
04.10.2018;10:05:00;117080.0000000;117160.0000000;117030.0000000;117080.0000000
04.10.2018;10:06:00;117060.0000000;117150.0000000;117030.0000000;117110.0000000
04.10.2018;10:07:00;117110.0000000;117140.0000000;117040.0000000;117040.0000000
04.10.2018;10:08:00;117040.0000000;117120.0000000;117000.0000000;117090.0000000
04.10.2018;10:09:00;117110.0000000;117150.0000000;117020.0000000;117070.0000000
04.10.2018;10:10:00;117060.0000000;117140.0000000;117020.0000000;117130.0000000
04.10.2018;10:11:00;117120.0000000;117170.0000000;117060.0000000;117170.0000000
04.10.2018;10:12:00;117180.0000000;117260.0000000;117120.0000000;117170.0000000
